GRP-DC-C-PERTURBED+ISO+SMALL
1.000000
10.9155531440 0.0000000000 0.0000000000 
0.0000000000 10.9155531440 0.0000000000 
0.0000000000 0.0000000000 10.9155531440 
64
carestian or direct (scaled), only the first letter matters
1.3615130239 4.0951570614 9.5493476366	0.01774250 -0.01073620 0.02381126
4.0926796604 1.3656270270 9.5554557581	0.03339313 0.00543153 0.00427324
-0.0007235463 5.4617954179 -0.0037045995	0.01790775 -0.03358083 0.05686309
2.7331696346 8.1842372547 0.0036099907	-0.03787258 -0.00126708 -0.04603518
-0.0031467354 8.1884437557 2.7328339850	0.03153243 -0.02327578 -0.03678772
2.7308778231 5.4558713316 2.7316129702	-0.01896724 0.04338395 -0.01041960
1.3646914566 6.8242422676 1.3667473991	-0.00752208 -0.02457533 0.01476205
4.0912607761 9.5524649253 1.3606516972	0.04848800 0.03429570 0.04960056
1.3610308070 9.5555452040 4.0910990717	0.02748059 -0.04617508 0.05353278
4.0975625659 6.8225190281 4.0929177772	-0.03932665 0.05761934 0.00803418
-0.0030929958 5.4565908232 5.4568559509	0.07567869 0.03949728 0.00390927
2.7256632765 8.1886493471 5.4617955253	0.03060570 -0.00435544 -0.07486557
0.0031183590 8.1862238478 8.1840213072	-0.03702555 0.02680393 0.05476030
2.7290704919 5.4605643926 8.1888616323	0.00734677 -0.03163256 0.00445234
1.3673309780 6.8242569179 6.8269514540	-0.05102165 -0.05310739 -0.07712882
4.0905352834 9.5518452762 6.8251974986	0.01025634 0.01879990 -0.01555960
1.3685968697 9.5494833954 9.5537442598	-0.02395703 0.00262667 0.00821465
4.0949441550 6.8214168770 9.5521511519	0.03031696 0.00293764 0.02288568
5.4627023379 -0.0022517502 -0.0028785327	-0.03095621 0.02659971 0.02938027
8.1874273772 2.7299037621 -0.0014404179	0.06279366 -0.00335054 -0.00015487
5.4582479524 2.7323399354 2.7257601870	0.04567970 0.00509772 0.03258642
8.1877933791 -0.0011035514 2.7333668759	-0.00547403 -0.00004228 -0.06321443
6.8258102022 1.3673849956 1.3624192893	-0.02001623 -0.05148366 0.03057322
9.5556113933 4.0926921011 1.3651370574	-0.00060911 0.00459989 -0.03611412
6.8242548965 4.0977991034 4.0977319506	-0.03660535 -0.03321395 -0.06307091
9.5487222638 1.3660735084 4.0946343609	0.03735129 -0.00318978 -0.01455155
5.4563807538 0.0001567200 5.4623142760	0.00667705 -0.02509985 -0.03784069
8.1869420446 2.7306672906 5.4555581302	-0.01115732 -0.01856091 0.06589102
5.4601299190 2.7290879877 8.1901045825	-0.02619102 0.00851583 -0.00004827
8.1846662562 0.0037641113 8.1898077226	0.06581525 -0.04921390 -0.02949700
